rodada,partida_id,placar,placar_mandante,placar_visitante,status,data_realizacao,edicao.edicao_id,edicao.temporada,edicao.nome_popular,campeonato.campeonato_id,campeonato.nome,campeonato.slug,time_mandante.time_id,time_mandante.nome_popular,time_mandante.sigla,time_mandante.escudo,time_visitante.time_id,time_visitante.nome_popular,time_visitante.sigla,time_visitante.escudo,estadio.estadio_id,estadio.nome_popular,rodada_num,time_mandante.valor,time_visitante.valor
26a-rodada,52633898,0x2,0,2,finalizado,45549,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-GO,,,,Vitória,,,,Estádio Antonio Accioly,26,9350000,14500000
26a-rodada,62264746,2x1,2,1,finalizado,45550,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Botafogo,,,,Corinthians,,,,Estádio Olímpico Nilton Santos,26,62900000,35000000
26a-rodada,87120732,0x1,0,1,finalizado,45550,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cruzeiro,,,,São Paulo,,,,Estádio Governador Magalhães Pinto,26,42200000,24600000
26a-rodada,27928929,1x1,1,1,finalizado,45550,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Flamengo,,,,Vasco,,,,Estádio Jornalista Mário Filho,26,63500000,30000000
26a-rodada,79848510,2x1,2,1,finalizado,45550,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Juventude,,,,Fluminense,,,,Estádio Alfredo Jaconi ,26,10400000,33350000
26a-rodada,85059495,2x2,2,2,finalizado,45550,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bragantino,,,,Grêmio,,,,Estádio Nabi Abi Chedid,26,33300000,39900000
26a-rodada,68308980,5x0,5,0,finalizado,45550,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Palmeiras,,,,Criciúma,,,,Allianz Parque,26,101600000,8830000
26a-rodada,640340,3x0,3,0,finalizado,45550,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bahia,,,,Atlético-MG,,,,Arena Fonte Nova,26,37450000,24550000
26a-rodada,36217260,3x0,3,0,finalizado,45552,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Internacional,,,,Cuiabá,,,,Estádio Beira-Rio,26,41750000,16200000
27a-rodada,77021895,1x0,1,0,finalizado,45556,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Vitória,,,,Juventude,,,,Estádio Manoel Barradas,27,11300000,8350000
27a-rodada,6344041,3x0,3,0,finalizado,45556,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Corinthians,,,,Atlético-GO,,,,Neo Química Arena ,27,36500000,7650000
27a-rodada,98298813,0x1,0,1,finalizado,45556,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fluminense,,,,Botafogo,,,,Estádio Jornalista Mário Filho,27,34000000,41100000
27a-rodada,61467454,0x0,0,0,finalizado,45557,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cuiabá,,,,Cruzeiro,,,,Arena Pantanal,27,13900000,25400000
27a-rodada,27666450,3x2,3,2,finalizado,45557,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Grêmio,,,,Flamengo,,,,Arena do Grêmio,27,41000000,53300000
27a-rodada,19332499,3x0,3,0,finalizado,45557,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-MG,,,,Bragantino,,,,Arena MRV,27,31850000,30750000
27a-rodada,44840980,1x3,1,3,finalizado,45557,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,São Paulo,,,,Internacional,,,,MorumBIS,27,29100000,42250000
27a-rodada,63969467,0x1,0,1,finalizado,45557,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Vasco,,,,Palmeiras,,,,Estádio Nacional de Brasília Mané Garrincha,27,33000000,95500000
27a-rodada,42246501,4x1,4,1,finalizado,45557,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fortaleza,,,,Bahia,,,,Estádio Governador Plácido Castelo,27,17450000,34450000
27a-rodada,85428632,0x0,0,0,finalizado,45558,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Criciúma,,,,Athletico-PR,,,,Estádio Heriberto Hülse,27,6800000,20100000
5a-rodada,66458083,1x2,1,2,finalizado,45561,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Grêmio,,,,Criciúma,,,,Arena do Grêmio,5,41200000,7350000
16a-rodada,65080885,2x2,2,2,finalizado,45561,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bragantino,,,,Internacional,,,,Estádio Nabi Abi Chedid,16,40800000,42100000
28a-rodada,26867317,2x1,2,1,finalizado,45563,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Palmeiras,,,,Atlético-MG,,,,Estádio Brinco de Ouro da Princesa,28,86500000,39600000
28a-rodada,27018469,0x0,0,0,finalizado,45564,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Botafogo,,,,Grêmio,,,,Estádio Nacional de Brasília Mané Garrincha,28,69600000,41500000
28a-rodada,44521164,1x1,1,1,finalizado,45564,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cruzeiro,,,,Vasco,,,,Estádio Governador Magalhães Pinto,28,41800000,38050000
28a-rodada,13277431,1x1,1,1,finalizado,45564,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Juventude,,,,Bragantino,,,,Estádio Alfredo Jaconi ,28,7650000,33700000
